estado;sigla;regiao;cidade;populacao;pib;pib_percapita
AMAZONAS;AM;NORTE;PRESIDENTE FIGUEIREDO;26282;304599.375;11589.66015625
AMAZONAS;AM;NORTE;CAREIRO;32638;117802.6171875;3609.37011719
AMAZONAS;AM;NORTE;JURUÁ;9275;40090.02734375;4322.37011719
AMAZONAS;AM;NORTE;MAUÉS;49666;226922.828125;4568.97998047
AMAZONAS;AM;NORTE;PAUINI;19111;69596.59375;3641.69995117
AMAZONAS;AM;NORTE;TAPAUÁ;19884;87235.609375;4387.22998047
AMAZONAS;AM;NORTE;FONTE BOA;18803;115856.546875;6161.60009766
AMAZONAS;AM;NORTE;SÃO PAULO DE OLIVENÇA;32958;109349.2890625;3317.84008789
AMAZONAS;AM;NORTE;MARAÃ;18135;109074.7265625;6014.60009766
AMAZONAS;AM;NORTE;ITAPIRANGA;9733;37870.4453125;3890.92993164
AMAZONAS;AM;NORTE;CAAPIRANGA;11170;45974.66015625;4115.91015625
AMAZONAS;AM;NORTE;CANUTAMA;11948;49871.54296875;4174.04980469
AMAZONAS;AM;NORTE;UARINI;10108;60242.65625;5959.89990234
AMAZONAS;AM;NORTE;JAPURÁ;4238;25534.7109375;6025.18017578
AMAZONAS;AM;NORTE;SILVES;8543;66035.21875;7729.75
AMAZONAS;AM;NORTE;MANACAPURU;86472;397942.40625;4601.97998047
AMAZONAS;AM;NORTE;IPIXUNA;18202;85468.484375;4695.54980469
AMAZONAS;AM;NORTE;SANTO ANTÔNIO DO IÇÁ;30351;94013.0;3097.5300293
AMAZONAS;AM;NORTE;BERURI;14705;78535.7421875;5340.75
AMAZONAS;AM;NORTE;MANICORÉ;46773;239006.1875;5109.91992188
AMAZONAS;AM;NORTE;SÃO GABRIEL DA CACHOEIRA;41885;202045.265625;4823.81005859
AMAZONAS;AM;NORTE;SÃO SEBASTIÃO DO UATUMÃ;9268;32970.34765625;3557.43994141
AMAZONAS;AM;NORTE;JUTAÍ;16791;68712.0;4092.18994141
AMAZONAS;AM;NORTE;SANTA ISABEL DO RIO NEGRO;18506;56945.6171875;3077.13989258
AMAZONAS;AM;NORTE;HUMAITÁ;40735;225637.4375;5539.14990234
AMAZONAS;AM;NORTE;ANORI;14688;74464.953125;5069.77978516
AMAZONAS;AM;NORTE;BARCELOS;25410;77717.203125;3058.5300293
AMAZONAS;AM;NORTE;PARINTINS;107250;460521.75;4293.91015625
AMAZONAS;AM;NORTE;CARAUARI;26187;120910.09375;4617.18017578
AMAZONAS;AM;NORTE;BARREIRINHA;28162;101256.609375;3595.51000977
AMAZONAS;AM;NORTE;LÁBREA;39393;394562.34375;10016.04980469
BAHIA;BA;NORDESTE;TREMEDAL;18433;57883.9921875;3140.23999023
BAHIA;BA;NORDESTE;MAETINGA;7884;23558.44726562;2988.12988281
BAHIA;BA;NORDESTE;IBIRAPUÃ;7893;74997.40625;9501.75976562
BAHIA;BA;NORDESTE;GOVERNADOR MANGABEIRA;20668;92903.8203125;4495.06005859
BAHIA;BA;NORDESTE;IBITITÁ;19410;62366.88671875;3213.12988281
BAHIA;BA;NORDESTE;SÁTIRO DIAS;18919;75908.4609375;4012.29003906
BAHIA;BA;NORDESTE;IRAJUBA;7666;29224.98828125;3812.29003906
BAHIA;BA;NORDESTE;ITAQUARA;7743;33105.69921875;4275.56982422
BAHIA;BA;NORDESTE;CANSANÇÃO;34093;112228.7734375;3291.84008789
BAHIA;BA;NORDESTE;ITAPARICA;20796;102586.6484375;4933.0
BAHIA;BA;NORDESTE;NOVA REDENÇÃO;9318;28909.56835938;3102.55004883
